kanji,strokes,grade,freq,jlpt,meanings,readings_on,readings_kun
一,1,1,2,5,"One, One Radical (no.1)","いち, いつ","ひと-, ひと.つ"
二,2,1,9,5,"Two, Two Radical (no. 7)","に, じ","ふた, ふた.つ, ふたたび"
九,2,1,55,5,Nine,"きゅう, く","ここの, ここの.つ"
七,2,1,115,5,Seven,しち,"なな, なな.つ, なの"
人,2,1,5,5,Person,"じん, にん","ひと, -り, -と"
入,2,1,56,5,"Enter, Insert","にゅう, じゅ","い.る, -い.る, -い.り, い.れる, -い.れ, はい.る"
八,2,1,92,5,"Eight, Eight Radical (no. 12)",はち,"や, や.つ, やっ.つ, よう"
力,2,1,62,4,"Power, Strength, Strong, Strain, Bear Up, Exert","りょく, りき, りい",ちから
十,2,1,8,5,Ten,"じゅう, じっ, じゅっ","とお, と"
三,3,1,14,5,Three,"さん, ぞう","み, み.つ, みっ.つ"
上,3,1,35,5,"Above, Up","じょう, しょう, しゃん","うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る"
下,3,1,97,5,"Below, Down, Descend, Give, Low, Inferior","か, げ","した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる"
口,3,1,284,4,Mouth,"こう, く",くち
大,3,1,7,5,"Large, Big","だい, たい","おお-, おお.きい, -おお.いに"
女,3,1,151,5,"Woman, Female","じょ, にょ, にょう","おんな, め"
山,3,1,131,5,Mountain,"さん, せん",やま
川,3,1,181,5,"Stream, River, River Or Three-stroke River Radical (no. 47)",せん,かわ
工,3,2,299,4,"Craft, Construction, Katakana E Radical (no. 48)","こう, く, ぐ",
刀,2,2,1794,1,"Sword, Saber, Knife",とう,"かたな, そり"
土,3,1,307,5,"Soil, Earth, Ground, Turkey","ど, と",つち
千,3,1,195,5,Thousand,せん,ち
夕,3,1,924,4,Evening,せき,ゆう
子,3,1,72,5,"Child, Sign Of The Rat, 11pm-1am, First Sign Of Chinese Zodiac","し, す, つ","こ, -こ, ね"
小,3,1,114,5,"Little, Small",しょう,"ちい.さい, こ-, お-, さ-"
丁,2,3,1312,1,"Street, Ward, Town, Counter For Guns, Tools, Leaves Or Cakes Of Something, Even Number, 4th Calendar Sign","ちょう, てい, ちん, とう, ち",ひのと
了,2,8,792,2,"Complete, Finish",りょう,
又,2,8,1874,1,"Or Again, Furthermore, On The Other Hand",ゆう,"また, また-, また.の-"
丸,3,2,542,2,"Round, Full (month), Perfection, -ship, Pills, Make Round, Roll Up, Curl Up, Seduce, Explain Away",がん,"まる, まる.める, まる.い"
才,3,2,1497,3,"Genius, Years Old, Cubic Shaku",さい,
中,4,1,11,5,"In, Inside, Middle, Mean, Center",ちゅう,"なか, うち, あた.る"
五,4,1,31,5,Five,ご,"いつ, いつ.つ"
六,4,1,93,5,Six,"ろく, りく","む, む.つ, むっ.つ, むい"
円,4,1,69,5,"Circle, Yen, Round",えん,"まる.い, まる, まど, まど.か, まろ.やか"
天,4,1,512,5,"Heavens, Sky, Imperial",てん,"あまつ, あめ, あま-"
手,4,1,60,4,Hand,"しゅ, ず","て, て-, -て, た-"
文,4,1,190,4,"Sentence, Literature, Style, Art, Decoration, Figures, Plan, Literary Radical (no. 67)","ぶん, もん","ふみ, あや"
日,4,1,1,5,"Day, Sun, Japan, Counter For Days","にち, じつ","ひ, -び, -か"
月,4,1,23,5,"Month, Moon","げつ, がつ",つき
木,4,1,317,5,"Tree, Wood","ぼく, もく","き, こ-"
水,4,1,223,5,Water,すい,"みず, みず-"
火,4,1,574,5,Fire,か,"ひ, -び, ほ-"
犬,4,1,1326,4,Dog,けん,"いぬ, いぬ-"
王,4,1,684,3,"King, Rule, Magnate","おう, -のう",
出,5,1,13,5,"Exit, Leave, Go Out, Come Out, Put Out, Protrude","しゅつ, すい","で.る, -で, だ.す, -だ.す, い.でる, い.だす"
右,5,1,602,5,Right,"う, ゆう",みぎ
四,5,1,47,5,Four,し,"よ, よ.つ, よっ.つ, よん"
左,5,1,630,5,Left,"さ, しゃ",ひだり
本,5,1,10,5,"Book, Present, Main, Origin, True, Real, Counter For Long Cylindrical Things",ほん,もと
正,5,1,143,4,"Correct, Justice, Righteous, 10**40","せい, しょう","ただ.しい, ただ.す, まさ, まさ.に"
玉,5,1,737,2,"Jewel, Ball",ぎょく,"たま, たま-, -だま"
田,5,1,90,4,"Rice Field, Rice Paddy",でん,た
白,5,1,483,5,White,"はく, びゃく","しろ, しら-, しろ.い"
目,5,1,76,4,"Eye, Class, Look, Insight, Experience, Care, Favor","もく, ぼく","め, -め, ま-"
石,5,1,342,3,Stone,"せき, しゃく, こく",いし
立,5,1,58,4,"Stand Up, Rise, Set Up, Erect","りつ, りゅう, りっとる","た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる"
万,3,2,375,5,"Ten Thousand, 10,000","まん, ばん",よろず
久,3,5,688,2,"Long Time, Old Story","きゅう, く",ひさ.しい
今,4,2,49,5,Now,"こん, きん",いま
元,4,2,192,4,"Beginning, Former Time, Origin","げん, がん",もと
公,4,2,118,4,"Public, Prince, Official, Governmental","こう, く",おおやけ
内,4,2,44,3,"Inside, Within, Between, Among, House, Home","ない, だい",うち
分,4,2,24,0,"Part, Minute Of Time, Segment, Share, Degree, One's Lot, Duty, Understand, Know, Rate, 1%, Chances, Shaku/100","ぶん, ふん, ぶ","わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ"
切,4,2,324,4,"Cut, Cutoff, Be Sharp","せつ, さい","き.る, -き.る, き.り, -き.り, -ぎ.り, き.れる, -き.れる, き.れ, -き.れ, -ぎ.れ"
午,4,2,154,5,"Noon, Sign Of The Horse, 11am-1pm, Seventh Sign Of Chinese Zodiac",ご,うま
友,4,2,622,5,Friend,ゆう,とも
太,4,2,552,3,"Plump, Thick, Big Around","たい, た","ふと.い, ふと.る"
少,4,2,287,4,"Few, Little",しょう,"すく.ない, すこ.し"
引,4,2,218,3,"Pull, Tug, Jerk, Admit, Install, Quote, Refer To",いん,"ひ.く, ひ.き, ひ.き-, -び.き, ひ.ける"
心,4,2,157,4,"Heart, Mind, Spirit, Heart Radical (no. 61)",しん,"こころ, -ごころ"
戸,4,2,575,2,"Door, Counter For Houses, Door Radical (no. 63)",こ,と
方,4,2,46,4,"Direction, Person, Alternative",ほう,"かた, -かた, -がた"
牛,4,2,1202,4,Cow,ぎゅう,うし
父,4,2,646,5,Father,ふ,ちち
毛,4,2,1179,2,"Fur, Hair, Feather, Down",もう,け
