kanji,strokes,grade,freq,jlpt_new
一,1,1,2,5
二,2,1,9,5
九,2,1,55,5
七,2,1,115,5
人,2,1,5,5
入,2,1,56,5
八,2,1,92,5
力,2,1,62,4
十,2,1,8,5
三,3,1,14,5
上,3,1,35,5
下,3,1,97,5
口,3,1,284,4
大,3,1,7,5
女,3,1,151,5
山,3,1,131,5
川,3,1,181,5
工,3,2,299,4
刀,2,2,1794,1
土,3,1,307,5
千,3,1,195,5
夕,3,1,924,4
子,3,1,72,5
小,3,1,114,5
丁,2,3,1312,1
了,2,8,792,2
又,2,8,1874,1
丸,3,2,542,2
才,3,2,1497,3
中,4,1,11,5
五,4,1,31,5
六,4,1,93,5
円,4,1,69,5
天,4,1,512,5
手,4,1,60,4
文,4,1,190,4
日,4,1,1,5
月,4,1,23,5
木,4,1,317,5
水,4,1,223,5
火,4,1,574,5
犬,4,1,1326,4
王,4,1,684,3
出,5,1,13,5
右,5,1,602,5
四,5,1,47,5
左,5,1,630,5
本,5,1,10,5
正,5,1,143,4
玉,5,1,737,2
田,5,1,90,4
白,5,1,483,5
目,5,1,76,4
石,5,1,342,3
立,5,1,58,4
万,3,2,375,5
久,3,5,688,2
今,4,2,49,5
元,4,2,192,4
公,4,2,118,4
内,4,2,44,3
分,4,2,24,0
切,4,2,324,4
午,4,2,154,5
友,4,2,622,5
太,4,2,552,3
少,4,2,287,4
引,4,2,218,3
心,4,2,157,4
戸,4,2,575,2
方,4,2,46,4
牛,4,2,1202,4
父,4,2,646,5
毛,4,2,1179,2
止,4,2,310,4
兄,5,2,1219,4
冬,5,2,1090,4
北,5,2,153,5
半,5,2,224,5
古,5,2,509,4
台,5,2,262,4
外,5,2,81,5
市,5,2,42,3
広,5,2,263,4
母,5,2,570,5
用,5,2,107,4
矢,5,2,1294,1
世,5,3,135,4
主,5,3,95,4
他,5,3,543,3
代,5,3,66,4
写,5,3,453,4
去,5,3,440,4
号,5,3,585,3
央,5,3,582,2
平,5,3,128,3
打,5,3,239,3
氷,5,3,1450,2
申,5,3,492,3
皮,5,3,1092,2
皿,5,3,1812,2
礼,5,3,1185,3
休,6,1,642,5
先,6,1,173,5
名,6,1,177,5
字,6,1,485,4
年,6,1,6,5
早,6,1,402,4
気,6,1,113,5
百,6,1,163,5
竹,6,1,593,2
糸,6,1,1488,2
耳,6,1,1328,3
虫,6,1,1351,2
村,7,1,253,2
男,7,1,240,5
町,7,1,292,4
花,7,1,578,4
見,7,1,22,5
貝,7,1,1787,2
赤,7,1,584,4
足,7,1,343,4
車,7,1,333,5
不,4,4,101,4
仕,5,3,439,4
交,6,2,178,3
会,6,2,4,4
光,6,2,527,3
同,6,2,15,4
回,6,2,50,3
多,6,2,139,4
当,6,2,91,3
毎,6,2,436,5
池,6,2,827,2
米,6,2,61,3
羽,6,2,748,2
考,6,2,196,4
肉,6,2,986,4
自,6,2,19,4
色,6,2,621,4
行,6,2,20,5
西,6,2,259,5
何,7,2,340,5
体,7,2,88,4
作,7,2,103,4
図,7,2,539,4
声,7,2,388,3
売,7,2,202,4
弟,7,2,1161,4
形,7,2,418,3
来,7,2,102,5
社,7,2,21,4
角,7,2,805,2
言,7,2,83,4
谷,7,2,508,2
走,7,2,626,4
近,7,2,194,4
里,7,2,1096,0
麦,7,2,1615,2
学,8,1,63,5
林,8,1,656,2
空,8,1,304,4
金,8,1,53,5
雨,8,1,950,5
青,8,1,589,4
草,9,1,967,3
音,9,1,491,4
化,4,3,89,3
地,6,2,40,4
両,6,3,247,3
全,6,3,75,3
向,6,3,182,3
安,6,3,144,4
州,6,3,386,2
曲,6,3,810,3
有,6,3,282,4
次,6,3,222,3
死,6,3,229,4
羊,6,3,1852,1
血,6,3,832,2
京,8,2,74,4
国,8,2,3,5
夜,8,2,487,4
妹,8,2,1446,4
姉,8,2,1473,4
店,8,2,378,4
明,8,2,67,4
東,8,2,37,5
歩,8,2,554,4
画,8,2,199,4
直,8,2,246,3
知,8,2,205,4
長,8,2,12,5
前,9,2,27,5
南,9,2,341,5
室,9,2,550,4
後,9,2,26,5
思,9,2,132,4
星,9,2,844,2
活,9,2,171,3
海,9,2,200,4
点,9,2,165,3
科,9,2,531,3
茶,9,2,1116,4
食,9,2,328,5
首,9,2,98,3
欠,4,4,860,3
氏,4,4,84,1
由,5,3,325,3
札,5,4,921,2
民,5,4,28,3
辺,5,4,428,2
付,5,4,322,3
以,5,4,126,4
失,5,4,447,3
必,5,4,265,3
未,5,4,650,3
末,5,4,456,3
校,10,1,294,5
夏,10,2,659,4
家,10,2,133,4
弱,10,2,958,2
時,10,2,16,5
紙,10,2,559,4
記,10,2,149,3
通,10,2,80,4
高,10,2,65,5
強,11,2,112,4
教,11,2,166,4
理,11,2,86,4
組,11,2,204,3
船,11,2,713,3
週,11,2,540,4
雪,11,2,1131,3
魚,11,2,1208,4
鳥,11,2,1043,4
黄,11,2,1240,2
黒,11,2,573,4
支,4,5,159,3
住,7,3,270,4
助,7,3,397,3
医,7,3,437,4
君,7,3,947,3
対,7,3,34,3
局,7,3,286,3
役,7,3,315,3
投,7,3,236,3
決,7,3,71,3
究,7,3,368,4
身,7,3,320,0
者,8,3,38,4
研,9,3,336,4
馬,10,2,639,3
森,12,1,609,2
場,12,2,52,4
朝,12,2,248,4
番,12,2,348,3
答,12,2,486,4
絵,12,2,895,3
買,12,2,520,4
道,12,2,207,4
間,12,2,33,5
雲,12,2,1256,2
数,13,2,148,3
楽,13,2,373,4
話,13,2,134,5
電,13,2,268,5
所,8,3,221,3
事,8,3,18,4
使,8,3,219,4
具,8,3,629,3
受,8,3,136,3
和,8,3,124,3
始,8,3,244,4
定,8,3,48,3
実,8,3,68,3
服,8,3,873,4
泳,8,3,1223,3
物,8,3,215,4
苦,8,3,623,3
表,8,3,77,3
部,11,3,36,3
乗,9,3,377,3
客,9,3,557,3
屋,9,3,616,4
度,9,3,110,4
待,9,3,391,4
持,9,3,119,4
界,9,3,158,4
発,9,3,32,4
相,9,3,45,3
県,9,3,140,2
美,9,3,462,3
負,9,3,443,3
送,9,3,311,4
重,9,3,193,4
談,15,3,272,3
要,9,4,106,3
勝,12,3,185,3
仮,6,5,1039,1
起,10,3,374,4
速,10,3,576,3
配,10,3,359,3
酒,10,3,1006,3
院,10,3,150,4
終,11,3,256,4
習,11,3,706,4
転,11,3,327,4
進,11,3,142,3
落,12,3,420,3
葉,12,3,414,3
軽,12,3,790,2
運,12,3,255,4
開,12,3,59,4
集,12,3,210,4
飲,12,3,969,4
業,13,3,43,4
漢,13,3,1487,4
路,13,3,529,3
農,13,3,385,2
鉄,13,3,672,2
歌,14,2,519,4
算,14,2,361,2
聞,14,2,319,5
語,14,2,301,5
読,14,2,618,5
鳴,14,2,1279,3
線,15,2,382,2
横,15,3,480,3
調,15,3,87,3
親,16,2,406,4
頭,16,2,433,3
顔,18,2,676,3
病,10,3,384,4
最,12,4,82,3
争,6,4,271,3
仲,6,4,919,2
伝,6,4,416,3
共,6,4,174,3
好,6,4,423,3
成,6,4,116,3
老,6,4,803,3
位,7,4,276,3
低,7,4,435,2
初,7,4,152,3
別,7,4,214,4
利,7,4,203,3
努,7,4,749,3
労,7,4,398,3
命,8,3,465,3
岸,8,3,556,2
放,8,3,288,3
昔,8,3,1197,3
波,8,3,740,2
注,8,3,497,4
育,8,3,369,3
拾,9,3,1479,2
指,9,3,155,3
洋,9,3,763,4
神,9,3,347,3
秒,9,3,1015,2
級,9,3,785,1
追,9,3,411,3
戦,13,4,78,3
競,20,4,610,2
良,7,4,501,3
功,5,4,857,1
特,10,4,234,4
便,9,4,729,3
働,13,4,417,3
令,5,4,804,2
意,13,3,99,4
味,8,3,442,4
勉,10,3,1066,4
庭,10,3,816,3
息,10,3,882,3
旅,10,3,783,4
根,10,3,620,2
流,10,3,280,3
消,10,3,345,3
倍,10,3,714,2
員,10,3,54,4
島,10,3,245,2
祭,11,3,1124,2
章,11,3,990,2
第,11,3,160,1
都,11,3,123,3
動,11,3,73,4
商,11,3,413,3
悪,11,3,530,4
族,11,3,393,4
深,11,3,484,3
球,11,3,302,3
童,12,3,1138,2
陽,12,3,1071,3
階,12,3,513,2
寒,12,3,1456,3
悲,12,3,1014,3
暑,12,3,1442,1
期,12,3,117,3
植,12,3,699,2
歯,12,3,1106,3
温,12,3,838,2
港,12,3,495,3
湯,12,3,1356,2
登,12,3,566,3
着,12,3,376,4
短,12,3,689,2
野,11,2,120,4
泉,9,6,1086,2
生,5,1,29,5
亡,3,6,661,3
合,6,2,41,3
風,9,2,558,4
予,4,3,180,3
反,4,3,191,3
新,13,2,51,4
返,7,3,685,3
問,11,3,64,4
宿,11,3,701,3
想,13,3,381,3
感,13,3,233,3
整,16,3,478,1
暗,13,3,1040,3
様,14,3,493,3
橋,16,3,553,2
福,13,3,467,3
緑,14,3,1180,2
練,14,3,788,2
詩,13,3,1196,1
銀,14,3,395,4
題,18,3,96,4
館,16,3,613,4
駅,14,3,724,4
億,15,4,716,2
器,15,4,525,1
士,3,4,526,1
料,10,4,295,4
標,15,4,686,1
殺,10,4,581,3
然,12,4,401,3
熱,15,4,700,3
課,15,4,455,2
賞,15,4,426,2
輪,15,4,693,2
選,15,4,57,3
鏡,19,4,1506,1
願,19,4,894,3
養,15,4,888,1
像,14,5,856,2
情,11,5,235,3
謝,17,5,1028,1
映,9,6,404,4
疑,14,6,283,3
皆,9,8,1267,3
例,8,4,399,3
卒,8,4,772,2
協,8,4,121,2
参,8,4,201,3
周,8,4,562,2
囲,7,4,771,2
固,8,4,750,2
季,8,4,842,2
完,7,4,595,3
希,7,4,896,2
念,8,4,390,3
折,7,4,962,3
望,11,4,470,3
材,7,4,565,2
束,7,4,918,3
松,8,4,471,1
残,10,4,380,3
求,7,4,220,3
的,8,4,105,0
約,9,4,94,3
芸,7,4,719,2
基,11,5,241,1
性,8,5,104,3
技,7,5,434,2
格,10,5,281,3
能,10,5,273,3
術,11,5,350,3
私,7,6,242,4
骨,10,6,936,2
妥,7,8,1102,1
雰,12,8,1341,1
頑,13,8,1247,1
寺,6,2,879,2
岩,8,2,787,2
帰,10,2,504,4
春,9,2,579,4
昼,9,2,1115,4
晴,12,2,1022,3
秋,9,2,635,4
計,9,2,228,4
列,6,3,927,3
区,4,3,137,2
坂,7,3,865,2
式,6,3,251,3
信,9,4,208,3
勇,9,4,1319,2
単,9,4,586,3
司,5,4,759,1
変,9,4,238,3
夫,4,4,335,3
建,9,4,300,4
昨,9,4,226,3
毒,8,4,1419,2
法,8,4,100,3
泣,8,4,1380,1
浅,9,4,1253,2
紀,9,4,780,1
英,8,4,430,4
軍,9,4,189,2
飯,12,4,1046,4
仏,4,5,819,2
築,16,5,821,2
晩,12,6,1424,3
猫,11,8,1702,3
園,13,2,628,3
曜,18,2,940,4
書,10,2,169,5
遠,13,2,887,3
門,8,2,452,2
係,9,3,232,3
取,8,3,122,3
品,9,3,225,4
守,6,3,457,3
幸,8,3,786,3
急,9,3,309,4
真,10,3,279,4
箱,15,3,1357,3
荷,10,3,1230,2
面,9,3,186,3
典,8,4,1055,1
喜,12,4,769,3
府,8,4,170,2
治,8,4,109,3
浴,10,4,1136,2
笑,10,4,913,3
辞,13,4,633,3
関,14,4,70,3
保,9,5,146,1
弁,5,5,619,1
政,9,5,17,3
留,10,5,731,3
証,12,5,306,1
険,11,5,707,3
危,6,6,606,3
存,6,6,577,3
専,9,6,506,2
冒,9,8,1317,1
冗,4,8,1782,1
阪,7,8,503,0
原,10,2,172,3
細,11,2,537,2
薬,16,3,702,3
鼻,14,3,1632,2
側,11,4,216,3
兵,7,4,522,2
堂,11,4,1010,4
塩,13,4,1148,2
席,10,4,370,3
敗,11,4,516,3
果,8,4,258,3
栄,9,4,920,2
梅,10,4,1232,1
無,12,4,274,0
結,12,4,162,1
因,6,5,636,3
常,11,5,293,3
識,19,5,496,3
非,8,5,472,3
干,3,6,1349,2
是,9,8,1045,1
渉,11,8,499,1
虚,11,8,1454,1
官,8,4,230,3
察,14,4,477,3
底,8,4,867,2
愛,13,4,640,3
署,13,6,725,2
警,19,6,366,3
恋,10,8,1296,2
覚,12,4,710,3
説,14,4,326,3
幻,4,8,1564,1
訓,10,4,1134,2
試,13,4,392,4
弓,3,2,1802,1
告,7,4,188,3
種,14,4,461,3
達,12,4,500,3
類,18,4,678,3
報,12,5,167,3
祈,8,8,1462,2
等,12,3,798,3
汽,7,2,2020,1
借,10,4,932,4
焼,12,4,982,2
座,10,6,588,3
忘,7,6,1129,3
洗,9,6,1168,3
胸,10,6,1144,2
脳,11,6,459,2
僧,13,8,1724,1
禅,13,8,1902,1
験,18,4,410,4
可,5,5,314,0
許,11,5,720,3
枚,8,6,911,2
静,14,4,764,3
句,5,5,1244,1
禁,13,5,681,2
喫,12,8,1347,2
煙,13,8,1290,3
加,5,4,130,3
節,13,4,934,1
減,12,5,261,2
順,12,4,779,2
容,10,5,264,3
布,5,5,877,2
易,8,5,571,3
財,10,5,494,3
若,8,6,458,3
詞,12,6,1636,2
昆,8,8,1688,1
閥,14,8,1072,1
歴,14,4,632,2
舌,6,5,1830,1
冊,5,6,1313,2
宇,6,6,883,2
宙,8,6,1005,1
忙,6,8,1475,3
履,15,8,1619,1
団,6,5,213,2
暴,15,5,692,2
混,11,5,824,2
乱,7,6,755,2
徒,10,4,817,3
得,11,4,175,3
改,7,4,147,2
続,13,4,141,3
連,10,4,30,3
善,12,6,765,1
